,Package_Id,Package Title,serial path(no airport),path_only_attraction,len,nature,outdoor,fatigue,sea,walking,exciting,day,culture,cluster
0,DCKC2TKO4,[청주출발]연합패키지 제주를 반하다 3일_관광호텔 화순곶자왈+서커스+석예원한방족욕+아쿠아플라넷,"수목원테마파크,카멜리아힐,성읍민속마을,아쿠아플라넷","수목원테마공원,카멜리아힐,성읍민속마을,아쿠아플라넷제주",4,1.25,2.0,1.25,1.25,2.75,1.0,1.75,0.25,3
1,DCKC2TKO3,[청주출발]연합패키지 노팁/노옵션 제주 3일_관광호텔 산방산유람선+ 화순곶자왈+서커스+아쿠아플라넷+오션아레나,"애월한담해안도로,용두암,카멜리아힐,수목원테마파크,산방산유람선,성읍민속마을,아쿠아플라넷","애월한담해안산책로,용두암,카멜리아힐,수목원테마공원,산방산,성읍민속마을,아쿠아플라넷제주",7,1.7142857142857142,2.4285714285714284,1.2857142857142858,1.4285714285714286,2.571428571428572,0.5714285714285714,2.2857142857142856,0.4285714285714285,3
2,DCKP2TKO4,[부산출발_※3일차 석식 전복죽포함※]연합패키지 제주를 반하다 3일_관광호텔 화순곶자왈+서커스+석예원한방족욕+아쿠아플라넷,"애월한담해안도로,수목원테마파크,카멜리아힐,성읍민속마을,아쿠아플라넷","애월한담해안산책로,수목원테마공원,카멜리아힐,성읍민속마을,아쿠아플라넷제주",5,1.4,2.2,1.2,1.4,2.8,0.8,2.0,0.2,3
3,DCPC2TKO5,"[청주출발]""모두 알뜰 패키지"" 제주 관광호텔 2박3일 비밀의 그림자+ 웰빙 족욕","용두암,제주레저승마,성읍민속마을","용두암,제주승마공원,성읍민속마을",3,2.0,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,3.0,0.6666666666666666,6
4,DCPC2TKO09,[청주출발]◈감귤타르트증정/코시롱한나들이◈아쿠아플라넷+유람선-제주 로베로관광호텔 2박3일 산방산유람선+아쿠아플라넷,"용두암,산방산유람선,제주레저승마,성읍민속마을,아쿠아플라넷","용두암,산방산,제주승마공원,성읍민속마을,아쿠아플라넷제주",5,1.6,2.4,1.6,1.4,2.0,0.8,2.8,0.6,3
5,DCPC2TKO39,[청주출발]◈감귤타르트증정/名品 효도◈고품격 노팁 노옵션-제주 로베로관광호텔 2박3일 해저잠수함+워터서커스+전일정식사포함,"용두암,카멜리아힐,송악산,잠수함,성읍민속마을,섭지코지","용두암,카멜리아힐,송악산,우도잠수함,성읍민속마을,섭지코지",6,2.5,2.6666666666666665,1.8333333333333333,1.5,2.0,0.6666666666666666,2.833333333333333,0.5,8
6,DCPK2TKE0,"[광주출발] ""코시롱한 제주나들이"" 관광호텔 2박3일 패키지 산방산유람선+승마체험","용두암,유리의성 제주,산방산유람선,성읍민속마을","용두암,제주유리의성,산방산,성읍민속마을",4,1.5,2.25,1.5,1.25,1.75,0.75,2.75,1.5,10
7,DCPK2TKE3,[광주출발]고품격 노팁 노옵션 관광호텔 2박3일 패키지 해저잠수함+잠수함+워터서커스+전일정식사포함,"용두암,수목원테마파크,유리의성 제주,송악산,잠수함,성읍민속마을","용두암,수목원테마공원,제주유리의성,송악산,우도잠수함,성읍민속마을",6,2.0,2.333333333333333,1.5,1.5,1.6666666666666667,1.3333333333333333,2.333333333333333,1.0,10
8,DCPP2AKE00,[부산출발][코시롱한나들이]♥감귤타르트증정♥제주 아쿠아플라넷 아스타호텔 3일,"유리의성,산방산유람선,아쿠아플라넷,한울랜드","제주유리의성,산방산,아쿠아플라넷제주",3,0.6666666666666666,1.0,1.3333333333333333,1.0,2.0,1.3333333333333333,2.333333333333333,1.3333333333333333,2
9,DCPP2AKE30,[부산출발][노팁노옵션]♥흑돼지육포증정♥제주 잠수함여행 아스타호텔 3일,"유리의성,잠수함,섭지코지","제주유리의성,우도잠수함,섭지코지",3,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,2.6666666666666665,1.0,11
10,DCPP2AKE10,[부산출발][섬속의섬]♥감귤타르트증정♥우도투어+비밀의그림자공연 제주 아스타호텔 3일,"유리의성,카멜리아힐,우도","제주유리의성,카멜리아힐,우도",3,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,2.333333333333333,1.3333333333333333,2.333333333333333,1.0,10
13,DCPP2TKE55,[부산출발][알뜰패키지_4인1실] 비밀의그림자공연+일출랜드 제주 관광호텔 3일,"유리의성,섭지코지,일출랜드","제주유리의성,섭지코지,일출랜드",3,1.6666666666666667,2.0,1.6666666666666667,1.0,2.333333333333333,2.0,2.6666666666666665,1.0,10
14,DCPS2TKO5,[싸다제주!!]제주 관광호텔 3일 - 서광곶자왈 + 웰빙족욕 비밀의그림자공연+서광곶자왈+웰빙족욕,"용두암,유리의성 제주,제주레저승마,성읍민속마을","용두암,제주유리의성,제주승마공원,성읍민속마을",4,1.5,2.25,1.5,1.5,1.5,1.5,2.75,1.25,10
15,DCPS2TKO0,[코시롱한나들이] 신나는여름! 떠나요제주! 관광호텔 3일 산방산유람선+아쿠아플라넷+서광곶자왈+웰빙족욕,"용두암,유리의성 제주,산방산유람선,제주레저승마,성읍민속마을,아쿠아플라넷","용두암,제주유리의성,산방산,제주승마공원,성읍민속마을,아쿠아플라넷제주",6,1.3333333333333333,2.0,1.5,1.3333333333333333,1.8333333333333333,1.1666666666666667,2.6666666666666665,1.0,10
16,DCPS2TZE9,[노팁노옵션 PERFECT 마라도투어] 제주 관광호텔 2박3일 카멜리아힐+마라도탐방+승마체험+아쿠아플라넷+오션아레나공연,"신창해안도로,수월봉,카멜리아힐,마라도,서커스월드,수목원테마파크,제주레저승마,성읍민속마을,아쿠아플라넷","신창~차귀해안도로,수월봉,카멜리아힐,마라도,수목원테마공원,제주승마공원,성읍민속마을,아쿠아플라넷제주",8,1.875,2.5,1.875,1.5,2.375,1.0,2.375,0.25,3
