,contentsid,title,tag
0,CONT_000000000500281,사려니숲길,"자연경관,커플,봄,흐림,걷기/등산,도보,친구"
1,CONT_000000000500477,우도(해양도립공원),"자연경관,맑음,아이,포토스팟"
2,CONT_000000000500349,성산일출봉(UNESCO 세계자연유산),"부모,자연경관,포토스팟"
3,CONT_000000000500270,비자림,"자연경관,흐림,걷기/등산,아이,여름"
4,CONT_000000000500618,천지연폭포,"자연경관,맑음,부모,포토스팟,여름"
5,CONT_000000000500182,만장굴,"자연경관,포토스팟,흐림,아이,여름"
6,CONT_000000000500309,새별오름,"자연경관,봄,도보,걷기/등산,아이"
7,CONT_000000000500697,협재해수욕장,"자연경관,체험,해변,맑음,액티비티,아이,여름"
8,CONT_000000000500343,섭지코지,"자연경관,커플,맑음,포토스팟,해변,가을"
9,CNTS_000000000001195,카멜리아힐,"자연경관,커플,맑음,포토스팟,아이"
10,CONT_000000000500034,거문오름(UNESCO 세계자연유산),"자연경관,커플,혼자,맑음,부모,도보,친구"
11,CONT_000000000500693,함덕해수욕장,"자연경관,체험,해변,맑음,액티비티,아이,여름"
12,CONT_000000000500496,월정리해변,"자연경관,커플,포토스팟,해변,여름"
13,CONT_000000000500685,한라산국립공원,"자연경관,사계절,포토스팟,걷기/등산,친구"
14,CONT_000000000500384,쇠소깍,"자연경관,체험,커플,맑음,액티비티,휴식/힐링,여름"
15,CNTS_000000000020476,주상절리대(중문대포해안),"자연경관,커플,맑음,포토스팟,해변,친구"
16,CONT_000000000500531,정방폭포,"포토스팟,자연경관,커플,여름"
17,CONT_000000000500438,에코랜드 테마파크,"봄,맑음,실내관광지,아이,가을"
18,CNTS_000000000020159,애월한담해안산책로,"자연경관,맑음,걷기/등산,해변,친구"
19,CNTS_000000000019331,천제연폭포,"커플,맑음,포토스팟,아이,여름"
20,CONT_000000000500283,산굼부리,"자연경관,맑음,걷기/등산,친구,가을"
21,CONT_000000000500457,오설록티뮤지엄,"커플,혼자,맑음,부모,실내관광지,아이,친구,휴식/힐링"
22,CNTS_000000000018383,황우지해안,"자연경관,체험,커플,해변,포토스팟,액티비티,친구,여름"
23,CONT_000000000500471,용머리해안,"자연경관,커플,봄,맑음,부모,해변,휴식/힐링"
24,CONT_000000000500083,김녕해수욕장,"자연경관,체험,해변,맑음,액티비티,아이,여름"
25,CONT_000000000500466,용눈이오름,"자연경관,걷기/등산,도보,친구,가을"
26,CNTS_000000000019973,한라산영실코스,"자연경관,체험,커플,사계절,혼자,부모,포토스팟,친구"
27,CONT_000000000500690,한림공원,"아이,맑음,휴식/힐링,봄"
28,CONT_000000000500565,아쿠아플라넷 제주,"실내관광지,아이,사계절"
29,CNTS_000000000001158,메이즈랜드,"부모,실내관광지,아이,포토스팟"
30,CONT_000000000500056,곽지해수욕장,"자연경관,체험,해변,맑음,액티비티,아이,여름"
31,CONT_000000000500570,제주절물자연휴양림,"자연경관,커플,걷기/등산,흐림,친구,휴식/힐링,여름"
32,CONT_000000000500564,제주실탄사격장,"체험,커플,실내관광지,액티비티,친구"
33,CONT_000000000500079,금능해수욕장,"자연경관,체험,해변,맑음,액티비티,아이,여름"
34,CONT_000000000500287,산방굴사,"부모,맑음,문화관광"
35,CNTS_000000000000597,아라고나이트 온천(디아넥스호텔),"부모,실내관광지,휴식/힐링"
36,CONT_000000000500469,용두암,"자연경관,맑음,포토스팟,해변"
37,CONT_000000000500288,산방산탄산온천,"자연경관,부모,실내관광지,흐림,아이,휴식/힐링"
38,CNTS_000000000019997,이호테우말등대,"포토스팟,맑음,커플,가을"
39,CNTS_000000000020050,보롬왓,"자연경관,커플,봄,포토스팟,친구,휴식/힐링,여름,가을"
40,CONT_000000000500707,휴애리 자연생활공원,"자연경관,봄,맑음,아이,휴식/힐링"
41,CONT_000000000500005,제주김녕미로공원,"자연경관,맑음,아이,봄"
42,CNTS_000000000020230,아침미소목장,"아이,맑음,체험,봄"
43,CNTS_000000000019970,백록담,"자연경관,커플,사계절,혼자,맑음,포토스팟,친구"
44,CONT_000000000500361,세화해변,"자연경관,커플,맑음,해변,휴식/힐링,여름"
45,CNTS_000000000018385,김경숙해바라기농장,"자연경관,커플,혼자,부모,포토스팟,아이,친구,여름"
46,CNTS_000000000021062,제주조천스위스마을,"커플,맑음,포토스팟,여름"
47,CONT_000000000500232,백약이오름,"자연경관,커플,걷기/등산,도보,친구"
48,CNTS_000000000018409,외돌개,"자연경관,맑음,포토스팟,해변,휴식/힐링,가을"
49,CNTS_000000000020139,제주레일바이크,"체험,포토스팟,액티비티,친구,가을"
50,CNTS_000000000018311,서귀포치유의숲,"부모,자연경관,도보,걷기/등산"
51,CNTS_000000000018413,광치기해변,"자연경관,봄,포토스팟,흐림,해변"
52,CONT_000000000500171,마라도(마라해양도립공원),"자연경관,맑음,부모,아이,휴식/힐링,가을"
53,CNTS_000000000019539,렛츠런파크,"액티비티,맑음,체험,아이"
54,CNTS_000000000018455,중문관광단지,"부모,아이,커플"
55,CONT_000000000500604,중문색달해수욕장,"자연경관,체험,해변,맑음,액티비티,친구,여름"
56,CONT_000000000500535,제주4.3평화공원,"커플,혼자,맑음,부모,실내관광지,흐림,아이,친구"
57,CONT_000000000500351,성읍민속마을,"자연경관,문화관광,봄,부모,아이"
58,CONT_000000000500425,애월해안도로,"자연경관,커플,맑음,해변,여름"
