,id,title,near_pension,near_minbak,near_motel,near_guestHouse,near_hotel,near_camping,near_korean,near_chinese,near_japanese,near_western,near_bunsik,near_cafe
0,1,사려니숲길,"[210, 260]",[],[],[],[16],[],"[66, 191, 248, 303, 308, 392, 499, 592]",[],[],[1426],[],"[197, 638, 643, 748, 825, 1123, 1346, 1350]"
1,2,우도(해양도립공원),"[48, 84, 109, 192, 202, 253, 381, 412, 433, 457, 525, 560, 579, 738, 754]","[312, 531, 587, 644, 651, 664, 679]",[],"[186, 249, 504, 554, 755]",[],[],"[134, 137, 176, 182, 192, 211, 313, 338, 487, 576, 626, 631, 691, 712, 729, 739, 763, 770, 792, 810, 822, 864, 868, 883, 888, 920, 1107, 1110]","[546, 974, 1018, 1151, 1340]",[1332],[],[],"[34, 54, 117, 152, 180, 208, 251, 322, 746, 817, 936, 977, 1005, 1043, 1085, 1140, 1173, 1184, 1208, 1209, 1220, 1226, 1409, 1532]"
2,3,성산일출봉(UNESCO 세계자연유산),"[84, 109, 112, 185, 236, 253, 327, 349, 381, 404, 456, 457, 495, 553, 588, 702, 725, 739, 873]","[367, 465, 679]",[149],"[22, 29, 159, 178, 181, 249, 340, 354, 362, 427, 470, 539, 554, 556, 607, 640, 681, 755, 906]","[7, 34, 38, 40, 43, 50, 51, 107, 317, 397, 619, 714]",[],"[9, 19, 49, 86, 90, 102, 110, 134, 142, 153, 159, 165, 173, 182, 192, 193, 211, 217, 243, 255, 288, 302, 311, 351, 352, 367, 371, 393, 475, 509, 552, 576, 590, 613, 617, 631, 657, 672, 676, 707, 724, 732, 787, 792, 797, 822, 868, 888, 914, 920, 924, 934, 968, 1121, 1298, 1368, 1391, 1477, 1508]","[1018, 1151, 1302, 1340]","[379, 486, 1343]","[56, 300, 937, 1234, 1270, 1339, 1355, 1478]","[661, 961]","[34, 152, 180, 187, 208, 267, 294, 296, 322, 354, 360, 394, 423, 432, 525, 681, 746, 800, 817, 870, 872, 975, 977, 1005, 1128, 1140, 1173, 1208, 1209, 1220, 1226, 1266, 1318, 1356, 1389, 1409, 1517, 1518]"
3,4,비자림,"[141, 205, 220, 334, 345, 547, 707, 749, 811, 841]",[719],[],"[255, 287, 500, 609, 613, 802]",[],[],"[138, 399, 1049, 1457, 1467]",[],[842],[200],[],"[146, 403, 764, 879, 899, 1327, 1395, 1475, 1572]"
4,5,천지연폭포,"[26, 55, 72, 104, 113, 188, 250, 267, 331, 350, 374, 383, 511, 558, 592, 595, 612, 621, 642, 657, 671, 727, 745, 748, 803, 825, 842, 905]","[589, 660]",[],"[45, 92, 127, 133, 138, 316, 460, 509, 550, 638, 686]","[21, 71, 135, 136, 140, 142, 151, 161, 164, 171, 198, 207, 309, 320, 336, 346, 394, 443, 501, 518, 574, 593, 648, 676, 742, 751, 805, 813, 815, 821, 832, 838, 854, 912]",[],"[18, 43, 57, 93, 95, 100, 107, 127, 149, 171, 190, 241, 273, 285, 318, 374, 381, 384, 402, 418, 433, 454, 485, 498, 556, 565, 582, 634, 636, 666, 667, 689, 873, 905, 955, 1000, 1016, 1032, 1053, 1197, 1214, 1278, 1281, 1285, 1308, 1360, 1399, 1401, 1406, 1429, 1497, 1502, 1523, 1544, 1605, 1615]","[75, 893]","[96, 290, 312, 406, 437, 451, 517, 777, 854, 1023, 1073, 1286, 1378, 1490, 1578]","[122, 157, 368, 468, 511, 562, 600, 717, 829, 1265, 1282, 1411]","[147, 321, 476, 927, 1020, 1379, 1542]","[310, 346, 472, 473, 526, 529, 531, 571, 574, 621, 705, 723, 725, 765, 809, 839, 917, 984, 1030, 1047, 1061, 1071, 1103, 1188, 1190, 1198, 1244, 1267, 1273, 1329, 1358, 1367, 1381, 1405, 1436, 1438, 1482, 1592, 1597, 1604, 1611]"
5,6,만장굴,"[57, 102, 162, 163, 258, 274, 307, 345, 423, 547, 581, 586, 653, 707, 716, 741, 749, 776, 787, 831]","[227, 415]",[],"[53, 54, 118, 319, 409, 500, 529, 770, 802, 817]",[],[],"[92, 138, 155, 298, 435, 512, 551, 831, 866, 1049, 1319, 1503]",[],"[28, 842, 952]","[118, 650, 665, 694, 700, 1316]","[270, 606]","[32, 59, 112, 209, 219, 245, 257, 317, 343, 344, 359, 372, 411, 440, 446, 573, 632, 645, 646, 754, 764, 783, 834, 899, 970, 1059, 1174, 1327, 1371, 1388, 1560]"
6,7,새별오름,"[224, 814]",[],[],[],"[130, 499]",[],[],[],[],[1336],[],"[21, 158, 1513]"
7,8,협재해수욕장,"[124, 228, 229, 306, 335, 351, 356, 387, 395, 396, 414, 436, 448, 483, 490, 508, 548, 590, 596, 599, 652, 675, 736, 771, 773, 783, 789, 796, 807, 830, 883]","[384, 493, 536, 731, 877]",[],"[19, 20, 129, 218, 406, 632]","[81, 146, 234, 300]",[],"[31, 37, 39, 98, 139, 141, 170, 224, 272, 326, 373, 412, 456, 494, 607, 616, 627, 658, 684, 740, 757, 759, 836, 849, 878, 929, 950, 1114, 1141, 1310, 1320, 1324, 1341, 1422, 1469, 1531, 1584, 1595, 1601, 1623]",[780],"[48, 94, 478, 579, 594]","[111, 350, 366, 675, 791, 966, 1445, 1506]","[25, 242, 1589]","[45, 103, 108, 189, 227, 460, 598, 699, 768, 882, 989, 1003, 1124, 1134, 1157, 1372, 1421, 1423, 1473, 1481, 1561, 1612]"
8,9,섭지코지,"[112, 175, 185, 236, 294, 349, 404, 425, 456, 553, 588, 702, 725, 835, 873]",[367],[149],"[29, 70, 159, 178, 340, 354, 427, 444, 607, 633, 640, 906]","[7, 38, 40, 50, 60, 107, 201, 317, 397, 619, 714]",[],"[9, 19, 49, 86, 90, 102, 110, 113, 142, 153, 159, 165, 173, 193, 217, 243, 255, 258, 288, 302, 351, 352, 367, 371, 393, 441, 458, 475, 509, 527, 552, 590, 613, 617, 657, 672, 676, 707, 724, 732, 787, 797, 908, 914, 924, 934, 968, 1121, 1298, 1368, 1391, 1477, 1508]","[1203, 1302]","[379, 486]","[56, 300, 937, 1234, 1270, 1355, 1478]","[661, 961]","[187, 267, 294, 296, 360, 423, 432, 681, 800, 870, 872, 975, 1266, 1318, 1356, 1389, 1517, 1518]"
9,10,카멜리아힐,"[78, 254, 597, 654, 680, 713, 786]",[],[],"[77, 662]","[24, 30, 32, 33, 46, 76, 82, 89, 150, 232, 389, 446, 452, 491]",[],"[10, 13, 64, 84, 120, 143, 198, 213, 229, 502, 535, 586, 595, 623, 708, 719, 859, 1122, 1287, 1293, 1307, 1479, 1519, 1541, 1558, 1613]",[1305],"[714, 761]","[68, 925, 945, 1160, 1256, 1295, 1334, 1480]",[],"[361, 415, 687, 728, 776, 958, 1274, 1311, 1328, 1382, 1434]"
