,title,nature,outdoor,피로도,산-바다,도보산책,신나는,낮,인문학
0,사려니숲길,2,2,1,1,3,1,0,0
1,우도(해양도립공원),3,3,3,1,3,0,3,0
2,성산일출봉(UNESCO 세계자연유산),3,3,3,0,3,0,3,1
3,비자림,2,3,3,1,3,0,3,0
4,천지연폭포,3,3,1,1,1,0,0,0
5,만장굴,3,2,1,1,2,0,3,1
6,새별오름,3,2,0,1,0,0,-2,1
7,협재해수욕장,2,3,2,3,2,2,3,0
8,섭지코지,3,3,3,1,3,0,3,0
9,카멜리아힐,2,2,1,1,3,1,2,0
10,거문오름(UNESCO 세계자연유산),3,3,2,0,3,0,2,1
11,함덕해수욕장,2,3,2,3,3,2,3,0
12,월정리해변,2,3,1,3,3,1,3,0
13,한라산국립공원,3,3,3,0,3,0,3,1
14,쇠소깍,2,3,2,0,0,3,3,0
15,주상절리대(중문대포해안),3,3,1,2,1,0,3,1
16,정방폭포,3,3,2,2,2,0,3,0
17,에코랜드 테마파크,2,3,1,1,2,1,3,0
18,애월한담해안산책로,2,3,1,2,3,0,3,0
19,천제연폭포,3,3,1,1,1,0,0,0
20,산굼부리,3,3,3,0,3,0,3,0
21,오설록티뮤지엄,2,1,0,1,1,1,1,0
22,황우지해안,3,3,2,2,2,2,3,0
23,용머리해안,3,3,1,2,3,0,3,0
24,김녕해수욕장,2,3,2,3,3,2,3,0
25,용눈이오름,3,3,2,0,3,0,2,1
26,한라산영실코스,3,3,3,0,3,0,3,1
27,한림공원,3,3,2,0,3,0,2,0
28,아쿠아플라넷 제주,0,0,1,2,3,1,2,0
29,메이즈랜드,1,2,1,1,3,2,3,0
30,곽지해수욕장,2,3,2,3,3,2,3,0
31,제주절물자연휴양림,2,3,1,1,3,1,3,0
32,제주실탄사격장,0,0,1,1,0,3,2,0
33,금능해수욕장,2,3,2,3,3,2,3,0
34,산방굴사,2,3,2,1,2,0,3,3
35,아라고나이트 온천(디아넥스호텔),1,1,0,2,0,0,2,0
36,용두암,3,3,1,3,2,0,3,1
37,산방산탄산온천,1,1,0,2,0,0,2,0
38,이호테우말등대,2,3,0,3,1,1,3,0
39,보롬왓,2,3,1,1,2,1,3,0
40,휴애리 자연생활공원,2,3,1,1,1,2,3,0
41,제주김녕미로공원,2,3,1,1,1,3,3,0
42,아침미소목장,2,3,1,1,1,2,3,0
43,백록담,3,3,3,0,3,0,3,1
44,세화해변,3,3,1,3,3,1,3,0
45,김경숙해바라기농장,2,3,1,1,3,1,3,0
46,제주조천스위스마을,0,2,1,1,2,1,2,0
47,백약이오름,3,3,3,0,2,0,3,1
48,외돌개,3,3,1,2,2,0,3,1
49,제주레일바이크,0,2,2,1,0,3,3,0
50,서귀포치유의숲,3,3,1,1,3,0,3,0
51,광치기해변,3,3,1,3,1,0,3,1
52,마라도(마라해양도립공원),3,3,2,2,3,1,3,0
53,렛츠런파크,0,1,1,1,0,3,2,0
54,중문관광단지,1,1,1,2,1,3,2,0
55,중문색달해수욕장,2,3,2,3,3,2,3,0
56,제주4.3평화공원,1,0,1,1,0,0,1,3
57,성읍민속마을,1,3,2,1,2,0,3,1
58,애월해안도로,2,3,2,2,2,1,2,0
59,산방산,2,3,2,0,2,0,3,1
60,이중섭거리,0,2,1,1,2,1,3,2
61,박물관은 살아있다,0,0,1,1,0,2,2,3
62,제주레포츠랜드,1,3,2,1,0,3,3,0
63,1100고지습지,3,3,2,1,3,0,3,1
64,송악산,3,3,3,0,2,0,3,1
65,소인국테마파크,1,1,1,1,1,2,3,2
66,환상숲 곶자왈공원,3,3,1,1,3,1,3,1
67,수월봉 지질트레일,3,3,2,2,3,0,3,1
68,제주하늘을날다(패러글라이딩),1,3,2,1,0,3,3,0
69,제주동백수목원,2,3,1,1,3,1,3,0
70,생각하는정원,2,2,1,1,2,1,3,0
,,,,,,,,,
