,alltag,contentsid,title,address,roadaddress,tag,introduction,latitude,longitude,postcode,phoneno,contentscd.value,contentscd.label,contentscd.refId,region1cd.value,region1cd.label,region1cd.refId,region2cd.value,region2cd.label,region2cd.refId,repPhoto.descseo,repPhoto.photoid.photoid,repPhoto.photoid.imgpath,repPhoto.photoid.thumbnailpath,인기점수
4162,"숲길,걷기/등산,친구,커플,흐림,봄,자연경관,도보여행,도보,숲,단풍,화장실,어려움",CONT_000000000500281,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,제주특별자치도 제주시 조천읍 교래리 산 137-1,"숲길,걷기/등산,친구,커플,흐림,봄,자연경관,도보여행,도보,숲,단풍","제주 숨은 비경 31, 삼나무 향기에 취하며 걷는 아름답고 청정한 숲길",33.40845,126.63976,,064-900-8800,c1,관광지,contentscd>c1,region1,제주시,region>region1,15.0,조천,region1>15,Saryeoni Forest Path,18168.0,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/552458b3-55a3-4589-b2e7-d8f29d1ca277.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/c9c42359-f82f-43a4-919e-03ecd197a2eb.jpg,1276524.0
4074,"섬속의섬,경관/포토,아이,맑음,자연경관,포토스팟,어린이,봄꽃,유채꽃,유네스코,공용주차장,화장실,편의점,음료대,장애인 전용 주차장,아주 어려움,UNESCO 세계지질공원,실내+실외,상,체험,포토스팟,기타,등산,물놀이,우도 관광,1~2시간",CONT_000000000500477,우도(해양도립공원),제주특별자치도 제주시 우도면 연평리 904-1,제주특별자치도 제주시 우도면 삼양고수물길 1,"섬속의섬,경관/포토,아이,맑음,자연경관,포토스팟,어린이,봄꽃,유채꽃,유네스코",소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,33.51949,126.95109,63365,064-728-1527,c1,관광지,contentscd>c1,region3,섬 속의 섬,region>region3,31.0,우도,region3>31,Udo Maritime Park,19203.0,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/dd51e08a-a970-466a-972e-f47f405ca644.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e1c2f9e4-bf4c-488c-884c-5674f8d8b119.jpg,1188600.0
4259,"일출,오름,경관/포토,부모,자연경관,포토스팟,유네스코,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,장애인 화장실,장애인 전용 주차장,아주 어려움,UNESCO 세계자연유산,UNESCO 세계지질공원,실외,상,등산,산책로. 올레코스. 오름,1시간 미만",CONT_000000000500349,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 성산리 1,제주특별자치도 서귀포시 성산읍 일출로 284-12,"일출,오름,경관/포토,부모,자연경관,포토스팟,유네스코","바다위에 우뚝 솟아난 수성화산·유네스코 세계자연유산, 천연기념물 제420호, 올레1코스",33.462147,126.936424,63643,064-783-0959,c1,관광지,contentscd>c1,region2,서귀포시,region>region2,17.0,성산,region2>17,성산일출봉(UNESCO 세계자연유산),2018052306801.0,https://api.cdn.visitjeju.net/photomng/imgpath/201810/17/c072ee1a-2a02-4be7-b0cd-62f4daf2f847.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201810/17/e798d53c-1c8a-4d44-a8ab-111beae96db4.gif,1027366.0
4243,"걷기/등산,아이,흐림,여름,힐링,자연경관,어린이,수국,공용주차장,현금결제,카드결제,화장실,무료 WIFI,단독접근가능,단차없음,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,어려움,실외,중,기타,산책로,1시간 미만",CONT_000000000500270,비자림,제주특별자치도 제주시 구좌읍 평대리 3161-1,제주특별자치도 제주시 구좌읍 비자숲길 55,"걷기/등산,아이,흐림,여름,힐링,자연경관,어린이,수국",천년의 세월이 녹아든 신비로움 가득한 비자림은 500~800년생 비자나무들이 자생하는 세계적으로도 희귀한 장소다. 벼락 맞은 나무부터 긴 세월이 느껴지는 아름드리 나무까지 다양한 비자나무를 만날 수 있다. ,33.491318,126.811386,63351,064-710-7912,c1,관광지,contentscd>c1,region1,제주시,region>region1,16.0,구좌,region1>16,비자림,2019022569712.0,https://api.cdn.visitjeju.net/photomng/imgpath/202002/26/ec450675-3426-4159-b3da-d3c62d7a2273.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202002/26/a3124542-e5c6-4665-9766-a8a5746ed15c.jpg,916549.0
3896,"폭포, 밤, 경관/포토, 부모, 맑음, 여름,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,단독접근가능,단차없음,시각장애인 접근성,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,어려움,UNESCO 세계지질공원,실외,중,1시간 미만",CONT_000000000500618,천지연폭포,제주특별자치도 서귀포시 서홍동 666-1,제주특별자치도 서귀포시 남성중로 2-15,"폭포,밤,경관/포토,부모,맑음,여름,자연경관,포토스팟,유네스코","하늘과 땅이 만나서 이룬 연못, 
· 천연기념물 제163호
· 천연기념물 제27호
· 올레6코스",33.2447173,126.5598201,,064-733-1528,c1,관광지,contentscd>c1,region2,서귀포시,region>region2,21.0,서귀포시내,region2>21,천지연폭포,2019022557647.0,https://api.cdn.visitjeju.net/photomng/imgpath/201907/11/7142cf44-ac03-420f-b07d-b83e06e8bfb9.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201907/11/3dad325d-b992-425e-9355-8d625d562574.jpg,645261.0
4266,"동굴,경관/포토,아이,흐림,여름,자연경관,포토스팟,어린이,유네스코,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,아주 어려움,UNESCO 세계지질공원",CONT_000000000500182,만장굴,제주특별자치도 제주시 구좌읍 월정리 산 41-5,제주특별자치도 제주시 구좌읍 만장굴길 182,"동굴,경관/포토,아이,흐림,여름,자연경관,포토스팟,어린이,유네스코","세계적인 규모의 용암동굴, 유네스코 지정 세계자연유산",33.5548185,126.7969015,,064-710-7903,c1,관광지,contentscd>c1,region1,제주시,region>region1,16.0,구좌,region1>16,만장굴,2019022585545.0,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/fd081f64-29a7-4a48-a4fa-cdc69e3552a2.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/28/76256df3-14d8-4aed-9977-393a41655854.JPG,612892.0
3904,"일몰,밤,오름,걷기/등산,아이,봄,공용주차장,화장실,유도 및 안내시설,아주 어려움,실외,1시간 미만",CONT_000000000500309,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,제주특별자치도 제주시 애월읍 봉성리 산 59-8,"일몰,밤,오름,걷기/등산,아이,봄,자연경관,도보여행,도보,어린이,억새",제주 서부 애월에 위치해 있으며 억새가 아름다운 오름,33.36723,126.35711,63040,064-728-2752,c1,관광지,contentscd>c1,region1,제주시,region>region1,12.0,애월,region1>12,새별오름,2019022583537.0,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/380f2ed7-9680-4f51-a5f7-1c52771d3c11.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/20/44ef8fe0-fd1b-4638-a01c-df4ee5a005e9.jpg,462211.0
3865,"일몰,해수욕장,액티비티,아이,맑음,여름,공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,실외,물놀이,1~2시간",CONT_000000000500697,협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2447,제주특별자치도 제주시 한림읍 한림로 329-10,"일몰,해수욕장,액티비티,아이,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저","비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",33.393845,126.239716,63011,064-728-3981,c1,관광지,contentscd>c1,region1,제주시,region>region1,13.0,한림,region1>13,협재해수욕장,2019022583476.0,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/32ec3ee6-fad9-440d-95ea-628ff6453a48.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/20/99fd2f85-ed17-4184-966d-f81cd5eabf31.jpg,444882.0
4038,"일출,해변,경관/포토,커플,맑음,가을,공용주차장,현금결제,카드결제,화장실,편의점,음료대,저상버스 접근 가능,장애인 화장실,장애인 전용 주차장,어려움,실외,상,등산,기타,산책로,1시간 미만",CONT_000000000500343,섭지코지,제주특별자치도 서귀포시 성산읍 고성리 127-2,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"일출,해변,경관/포토,커플,맑음,가을,자연경관,포토스팟,봄꽃,유채꽃",아름다운 해안이 일품인 섭지,33.4305782,126.9277688,,064-740-6000,c1,관광지,contentscd>c1,region2,서귀포시,region>region2,17.0,성산,region2>17,섭지코지,2019022561200.0,https://api.cdn.visitjeju.net/photomng/imgpath/201908/29/83d7988d-9df2-4540-acbe-23d8b3550bfe.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/29/5e753684-1bfd-4a01-bd60-61d10df8b14b.jpg,403859.0
4056,"경관/포토,커플,아이,맑음,겨울,힐링,자연경관,포토스팟,어린이,어트랙션,동백,수국,공용주차장,현금결제,카드결제,화장실,단독접근가능,단차없음,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,아주 어려움,실외,중,공연/전시,포토스팟,2~3시간",CNTS_000000000001195,카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271,제주 서귀포시 안덕면 병악로 166,"경관/포토,커플,아이,맑음,겨울,힐링,자연경관,포토스팟,어린이,어트랙션,동백,수국","카멜리아힐은 동양에서 가장 큰 동백 수목원으로 토종 동백부터 아기 동백, 유럽 동백 등 80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있다. 수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다. 동백꽃이 피는 계절이면 흐드러지게 피어난 동백꽃을 배경으로 멋진 인생 사진을 남기기 위해 찾아드는 발걸음이 끊이지 않는다.",33.289135,126.37011,,064-792-0088,c1,관광지,contentscd>c1,region2,서귀포시,region>region2,23.0,안덕,region2>23,카멜리아힐,2019022583487.0,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/fb0a5c04-e09e-4dee-8d9e-68c4ad774388.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/20/b06b8d55-0f87-4efd-8a9f-a682a48a4868.JPG,387309.0
