contentsid,title,tag,introduction,contentscd.label,인기점수,자연,실외,피로도,산-바다,도보산채ㄱ,신나는,낮,인문학
CONT_000000000500281,사려니숲길,"숲길,걷기/등산,친구,커플,흐림,봄,자연경관,도보여행,도보,숲,단풍","제주 숨은 비경 31, 삼나무 향기에 취하며 걷는 아름답고 청정한 숲길",관광지,1276524,,,,,,,,
CONT_000000000500477,우도(해양도립공원),"섬속의섬,경관/포토,아이,맑음,자연경관,포토스팟,어린이,봄꽃,유채꽃,유네스코",소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,관광지,1188600,,,,,,,,
CONT_000000000500349,성산일출봉(UNESCO 세계자연유산),"일출,오름,경관/포토,부모,자연경관,포토스팟,유네스코","바다위에 우뚝 솟아난 수성화산·유네스코 세계자연유산, 천연기념물 제420호, 올레1코스",관광지,1027366,,,,,,,,
CONT_000000000500270,비자림,"걷기/등산,아이,흐림,여름,힐링,자연경관,어린이,수국",천년의 세월이 녹아든 신비로움 가득한 비자림은 500~800년생 비자나무들이 자생하는 세계적으로도 희귀한 장소다. 벼락 맞은 나무부터 긴 세월이 느껴지는 아름드리 나무까지 다양한 비자나무를 만날 수 있다. ,관광지,916549,,,,,,,,
CONT_000000000500618,천지연폭포,"폭포,밤,경관/포토,부모,맑음,여름,자연경관,포토스팟,유네스코","하늘과 땅이 만나서 이룬 연못, 
· 천연기념물 제163호
· 천연기념물 제27호
· 올레6코스",관광지,645261,,,,,,,,
CONT_000000000500182,만장굴,"동굴,경관/포토,아이,흐림,여름,자연경관,포토스팟,어린이,유네스코","세계적인 규모의 용암동굴, 유네스코 지정 세계자연유산",관광지,612892,,,,,,,,
CONT_000000000500309,새별오름,"일몰,밤,오름,걷기/등산,아이,봄,자연경관,도보여행,도보,어린이,억새",제주 서부 애월에 위치해 있으며 억새가 아름다운 오름,관광지,462211,,,,,,,,
CONT_000000000500697,협재해수욕장,"일몰,해수욕장,액티비티,아이,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저","비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",관광지,444882,,,,,,,,
CONT_000000000500343,섭지코지,"일출,해변,경관/포토,커플,맑음,가을,자연경관,포토스팟,봄꽃,유채꽃",아름다운 해안이 일품인 섭지,관광지,403859,,,,,,,,
CNTS_000000000001195,카멜리아힐,"경관/포토,커플,아이,맑음,겨울,힐링,자연경관,포토스팟,어린이,어트랙션,동백,수국","카멜리아힐은 동양에서 가장 큰 동백 수목원으로 토종 동백부터 아기 동백, 유럽 동백 등 80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있다. 수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다. 동백꽃이 피는 계절이면 흐드러지게 피어난 동백꽃을 배경으로 멋진 인생 사진을 남기기 위해 찾아드는 발걸음이 끊이지 않는다.",관광지,387309,,,,,,,,
CONT_000000000500034,거문오름(UNESCO 세계자연유산),"부모,커플,혼자,친구,맑음,오름,세계자연유산,자연경관,도보여행,도보,언택트,유네스코",대한민국 유일의 세계자연유산 거문오름,관광지,378617,,,,,,,,
CONT_000000000500693,함덕해수욕장,"해수욕장,액티비티,아이,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저",에매랄드처럼 빛나는 '한국의 몰디브',관광지,355426,,,,,,,,
CONT_000000000500496,월정리해변,"해변,경관/포토,커플,여름,자연경관,포토스팟",'달이 머물다 가는’ 제주도의 아름다운 해변,관광지,326328,,,,,,,,
CONT_000000000500685,한라산국립공원,"산,걷기/등산,경관/포토,친구,사계절,자연경관,포토스팟,한라산,언택트,단풍,유네스코","한반도 3대 영산 중 하나, 유네스코가 지정한 
· 세계생물권보존지역
· 세계자연유산
· 세계지질공원",관광지,301297,,,,,,,,
CONT_000000000500384,쇠소깍,"계곡,휴식/힐링,액티비티,커플,맑음,여름,자연경관,체험,레저/체험,수상레저,어트랙션,물놀이",제주 올레 5코스의 끝이자 6코스의 시작인 바닷물과 민물이 만나는 비밀스런 계곡,관광지,274980,,,,,,,,
CNTS_000000000020476,주상절리대(중문대포해안),"해변,경관/포토,친구,커플,맑음,자연경관,포토스팟,유네스코",자연의 신비가 주는 웅장함에 압도되다,관광지,270792,,,,,,,,
CONT_000000000500531,정방폭포,"폭포,경관/포토,커플,여름,자연경관,포토스팟","높은곳에서 바다로 떨어지는 물줄기의 시원함
· 명승 제43호
· 올레6코스",관광지,234780,,,,,,,,
CONT_000000000500438,에코랜드 테마파크,"테마공원,아이,맑음,봄,가을,겨울,실내관광지,어린이,어트랙션","기차를 타고 감상하는 곶자왈, 원시림 테마공원",관광지,229587,,,,,,,,
CNTS_000000000020159,애월한담해안산책로,"해변,걷기/등산,친구,맑음,유채꽃,자연경관,봄꽃",해안선을 따라 걷는 구불구불 해안길.,관광지,221208,,,,,,,,
CNTS_000000000019331,천제연폭포,"폭포,경관/포토,커플,아이,맑음,여름,포토스팟,어린이,봄꽃,벚꽃","칠선녀가 목욕을 하다 간다는 전설이 있는 폭포
· 서귀포시 중문동
· 천연기념물 제378호
· 올레8코스",관광지,220562,,,,,,,,
CONT_000000000500283,산굼부리,"오름,걷기/등산,친구,맑음,가을,우수관광사업체,자연경관,억새","사계절마다 다른풍경의 '분화구 식물원', 국가지정 문화재 천연기념물 263호",관광지,218812,,,,,,,,
CONT_000000000500457,오설록티뮤지엄,"테마공원,커플,친구,부모,아이,혼자,맑음,휴식/힐링,녹차,실내관광지,어트랙션","제주녹차문화의 중심, 차박물관과 카페테리아, 2016 KOREAT JEJU TOP 30 선정",관광지,204211,,,,,,,,
CNTS_000000000018383,황우지해안,"해변,경관/포토,액티비티,친구,커플,맑음,여름,자연경관,체험,레저/체험,포토스팟,수상레저,어트랙션",선녀가 물놀이 했다는 전설이 있는 자연형성 풀장,관광지,202611,,,,,,,,
CONT_000000000500471,용머리해안,"해변,휴식/힐링,부모,커플,맑음,봄,자연경관,유네스코","시간이 보여주는 위대함 속으로
· 천연기념물 제526호
· 올레10코스",관광지,195279,,,,,,,,
CONT_000000000500083,김녕해수욕장,"해수욕장,액티비티,아이,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저",너럭바위 위에 생긴 김녕해수욕장,관광지,185541,,,,,,,,
CONT_000000000500466,용눈이오름,"일출,밤,오름,걷기/등산,친구,가을,자연경관,도보여행,도보","능선의 아름다움을 뽐내는 오름, 김영갑 작가가 사랑한 오름",관광지,182848,,,,,,,,
CNTS_000000000019973,한라산영실코스,"부모,커플,혼자,친구,경관/포토,오름,사계절,자연경관,체험,포토스팟,한라산,언택트,어트랙션,단풍","가장 짧지만 가장 아름다운, 한라산 등산코스",관광지,168191,,,,,,,,
CONT_000000000500690,한림공원,"휴식/힐링,테마공원,아이,맑음,봄,우수관광사업체,동굴,어린이,매화,수국,안전여행스탬프",10만 평 대지 위에 펼쳐지는 환상적인 10가지 테마파크.,관광지,163290,,,,,,,,
CONT_000000000500565,아쿠아플라넷 제주,"실내,테마공원,아이,비.눈,사계절,우수관광사업체,실내관광지,어린이,어트랙션,어린이동물농장,안전여행스탬프",450여종의 바다생명체가 있는 아시아 최대 수족관,관광지,163224,,,,,,,,
CNTS_000000000001158,메이즈랜드,"부모,아이,테마공원,미술/박물관,경관/포토,전시와 행사,우수관광사업체,실내관광지,포토스팟,어린이,어트랙션","돌, 바람, 여자, 제주의 삼다를 녹인 미로공원",관광지,161087,,,,,,,,
